level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4256	2960	-1	
2	1	1	0	0	0	1540	644	1908	24	-1	
3	1	1	1	0	0	1540	644	1908	24	-1	
4	1	1	1	1	0	1540	644	1908	24	-1	
5	1	1	1	1	1	1540	644	84	24	26.811256	£
5	1	1	1	1	2	1672	644	20	24	71.266792	v
5	1	1	1	1	3	1809	644	79	24	39.561787	¢
5	1	1	1	1	4	1948	644	40	24	59.736080	o
5	1	1	1	1	5	2030	640	43	39	70.180099	¥
5	1	1	1	1	6	2156	644	56	24	2.805281	v
5	1	1	1	1	7	2332	644	76	24	59.831383	¥
5	1	1	1	1	8	2468	644	37	24	62.717434	.
5	1	1	1	1	9	2550	640	43	39	40.561729	¥
5	1	1	1	1	10	2641	644	23	24	0.000000	r
5	1	1	1	1	11	2719	644	13	24	37.322811	v
5	1	1	1	1	12	2852	644	76	24	46.247997	¥
5	1	1	1	1	13	3034	644	62	24	8.955402	&
5	1	1	1	1	14	3161	644	23	24	73.283539	!
5	1	1	1	1	15	3235	644	17	24	68.358315	!
2	1	2	0	0	0	1260	588	2512	24	-1	
3	1	2	1	0	0	1260	588	2512	24	-1	
4	1	2	1	1	0	1260	588	2512	24	-1	
5	1	2	1	1	1	1256	584	65	39	58.951431	e
5	1	2	1	1	2	1493	588	179	24	26.968746	¢
5	1	2	1	1	3	1922	588	222	24	0.000000	o
5	1	2	1	1	4	2198	588	14	24	17.166815	r
5	1	2	1	1	5	2445	588	219	24	0.000000	o
5	1	2	1	1	6	2715	588	17	24	19.903841	¢
5	1	2	1	1	7	2965	588	219	24	0.000000	o
5	1	2	1	1	8	3238	588	14	24	29.696312	r
5	1	2	1	1	9	3433	584	225	39	38.292427	OO
2	1	3	0	0	0	1771	43	2369	498	-1	
3	1	3	1	0	0	1771	43	2369	498	-1	
4	1	3	1	1	0	1771	43	2369	498	-1	
5	1	3	1	1	1	1771	43	2369	498	0.000000	FLETRELE
2	1	4	0	0	0	47	503	497	350	-1	
3	1	4	1	0	0	47	503	497	350	-1	
4	1	4	1	1	0	47	503	497	350	-1	
5	1	4	1	1	1	47	299	497	554	42.226601	gy
2	1	5	0	0	0	904	503	984	405	-1	
3	1	5	1	0	0	904	503	984	405	-1	
4	1	5	1	1	0	904	503	984	405	-1	
5	1	5	1	1	1	904	503	984	493	0.000000	sy
2	1	6	0	0	0	1204	1028	136	156	-1	
3	1	6	1	0	0	1204	1028	136	156	-1	
4	1	6	1	1	0	1204	1028	136	156	-1	
5	1	6	1	1	1	1204	1028	136	156	31.420345	il
2	1	7	0	0	0	1260	912	80	112	-1	
3	1	7	1	0	0	1260	912	80	112	-1	
4	1	7	1	1	0	1260	912	80	112	-1	
5	1	7	1	1	1	1260	912	80	112	53.471085	Il
2	1	8	0	0	0	1628	672	2396	512	-1	
3	1	8	1	0	0	1628	672	2396	512	-1	
4	1	8	1	1	0	1628	672	2396	512	-1	
5	1	8	1	1	1	1628	644	2396	540	13.389149	B
2	1	9	0	0	0	547	503	249	950	-1	
3	1	9	1	0	0	547	503	249	950	-1	
4	1	9	1	1	0	547	503	249	950	-1	
5	1	9	1	1	1	547	503	249	950	47.580681	F
2	1	10	0	0	0	695	1075	333	446	-1	
3	1	10	1	0	0	695	1075	333	446	-1	
4	1	10	1	1	0	695	1075	333	446	-1	
5	1	10	1	1	1	695	1075	333	446	9.263554	i
2	1	11	0	0	0	404	1188	824	524	-1	
3	1	11	1	0	0	404	1188	824	524	-1	
4	1	11	1	1	0	404	1188	824	524	-1	
5	1	11	1	1	1	404	1188	824	524	28.704395	hal
2	1	12	0	0	0	1344	1188	2796	916	-1	
3	1	12	1	0	0	1344	1188	2796	916	-1	
4	1	12	1	1	0	1344	1188	2796	916	-1	
5	1	12	1	1	1	1344	1096	2796	1144	0.000000	s
2	1	13	0	0	0	1344	2164	2104	24	-1	
3	1	13	1	0	0	1344	2164	2104	24	-1	
4	1	13	1	1	0	1344	2164	2104	24	-1	
5	1	13	1	1	1	1344	2164	13	24	57.909122	A
5	1	13	1	1	2	1376	2164	11	24	12.942085	I
5	1	13	1	1	3	1403	2164	11	24	13.051815	O
5	1	13	1	1	4	1440	2160	57	40	0.000000	PO
5	1	13	1	1	5	1543	2160	48	40	21.360464	SN
5	1	13	1	1	6	1630	2164	34	24	18.088284	N
5	1	13	1	1	7	1700	2164	94	24	7.501259	N
5	1	13	1	1	8	1926	2160	95	40	3.409700	DU
5	1	13	1	1	9	2063	2164	44	24	24.429222	S
5	1	13	1	1	10	2150	2164	34	24	28.245045	N
5	1	13	1	1	11	2220	2164	97	24	9.751062	S
5	1	13	1	1	12	2456	2164	84	24	44.191826	U
5	1	13	1	1	13	2583	2164	44	24	49.341045	S
5	1	13	1	1	14	2670	2164	34	24	12.240839	N
5	1	13	1	1	15	2740	2164	97	24	11.328077	S
5	1	13	1	1	16	2933	2164	84	24	43.444767	A
5	1	13	1	1	17	3103	2164	44	24	22.917109	S
5	1	13	1	1	18	3190	2164	34	24	0.000000	N
2	1	14	0	0	0	88	2459	713	442	-1	
3	1	14	1	0	0	88	2459	713	442	-1	
4	1	14	1	1	0	88	2459	713	442	-1	
5	1	14	1	1	1	88	2459	713	442	0.000000	afias
2	1	15	0	0	0	1372	2192	2652	512	-1	
3	1	15	1	0	0	1372	2192	2652	512	-1	
4	1	15	1	1	0	1372	2192	2652	512	-1	
5	1	15	1	1	1	1372	2164	2652	680	0.000000	LEuE
